ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2020,2611606,Recife,21.9,35.2,4.6,6.9,16.4,21.2,,,,,,
2020,2611606,Recife,25.5,37.3,4.7,7.3,23.8,25.1,,,,,,
2020,2611606,Recife,21.8,,4.8,,21.6,,,,,,,
2020,2611606,Recife,35.5,39.5,4.6,7.4,27.7,24.6,,,,,,
2020,2611606,Recife,35.5,39.5,4.6,7.4,27.7,24.6,,,,,,
2008,2611606,Recife,26.6,,,,24.6,,86.7,,8.4,,4.9,
2008,2611606,Recife,26.6,,,,24.6,,86.7,,8.4,,4.9,
2008,2611606,Recife,32.5,34.2,,,6.9,72.8,95.0,88.2,5.0,11.8,0.0,0.0
2008,2611606,Recife,32.5,34.2,,,6.9,72.8,95.0,88.2,5.0,11.8,0.0,0.0
2008,2611606,Recife,20.1,37.7,,,6.4,9.3,95.3,93.1,4.2,5.9,0.5,1.0
2008,2611606,Recife,20.1,37.7,,,6.4,9.3,95.3,93.1,4.2,5.9,0.5,1.0
2008,2611606,Recife,26.8,38.2,,,26.1,44.8,79.5,69.4,12.7,12.1,7.8,18.5
2008,2611606,Recife,26.8,38.2,,,26.1,44.8,79.6,69.4,12.7,12.1,7.7,18.5
2008,2611606,Recife,30.5,38.3,,,33.3,54.7,73.9,62.7,15.8,13.9,10.3,23.4
2008,2611606,Recife,30.5,38.3,,,33.3,54.7,73.9,62.7,15.8,13.9,10.3,23.4
2008,2611606,Recife,35.4,38.6,,,42.1,53.5,60.9,60.9,23.2,14.0,15.9,25.1
2008,2611606,Recife,35.5,38.6,,,42.1,53.5,60.9,60.9,23.2,14.0,15.9,25.1
2008,2611606,Recife,8.8,,,,8.6,,69.0,,27.6,,3.4,
2008,2611606,Recife,8.8,,,,8.6,,69.0,,27.6,,3.4,
2008,2611606,Recife,8.8,,,,8.6,,69.0,,27.6,,3.4,
2019,2611606,Recife,34.9,37.9,4.5,7.1,27.8,23.5,94.2,93.7,4.7,5.0,1.1,1.3
2019,2611606,Recife,34.9,37.9,4.5,7.1,27.8,23.5,94.2,93.7,4.7,5.0,1.1,1.3
2019,2611606,Recife,18.1,29.4,4.5,5.5,7.2,7.4,97.9,95.5,1.7,3.9,0.4,0.6
2019,2611606,Recife,18.1,29.4,4.5,5.5,7.2,7.4,97.9,95.5,1.7,3.9,0.4,0.6
2019,2611606,Recife,25.2,35.1,4.6,7.0,25.8,24.1,93.2,92.2,6.0,6.2,0.8,1.6
2019,2611606,Recife,21.6,33.7,4.6,6.6,18.0,20.3,95.2,93.0,4.2,5.7,0.6,1.3
2019,2611606,Recife,25.2,35.1,4.6,7.0,25.8,24.1,93.2,92.2,6.0,6.2,0.8,1.6
2019,2611606,Recife,21.4,,4.7,,24.6,,92.5,,6.8,,0.7,
2019,2611606,Recife,21.4,,4.7,,24.6,,92.5,,6.8,,0.7,
2020,2611606,Recife,18.2,29.1,4.5,5.5,5.9,7.4,,,,,,
2020,2611606,Recife,18.2,29.1,4.5,5.5,5.9,7.4,,,,,,
2020,2611606,Recife,21.9,35.2,4.6,6.9,16.4,21.2,,,,,,
2020,2611606,Recife,25.5,37.3,4.7,7.3,23.8,25.1,,,,,,
2020,2611606,Recife,29.5,17.9,5.3,4.9,10.0,34.2,,,,,,
2020,2611606,Recife,29.5,17.9,5.3,4.9,10.0,34.2,,,,,,
2020,2611606,Recife,21.8,,4.8,,21.6,,,,,,,
2017,2611606,Recife,34.8,37.5,4.5,6.7,31.1,28.7,92.8,92.7,6.5,6.5,0.7,0.8
2017,2611606,Recife,18.5,31.3,4.4,5.5,7.5,7.7,97.7,95.6,2.1,3.7,0.2,0.7
2017,2611606,Recife,18.5,31.3,4.4,5.5,7.5,7.7,97.7,95.6,2.1,3.7,0.2,0.7
2017,2611606,Recife,22.1,33.7,4.5,6.3,20.0,23.5,92.9,92.5,6.6,6.5,0.5,1.0
2017,2611606,Recife,21.5,,4.7,,27.0,,87.5,,11.8,,0.7,
2016,2611606,Recife,34.0,36.6,4.5,6.3,33.3,32.7,90.4,90.7,8.9,8.1,0.7,1.2
2016,2611606,Recife,25.4,35.800000000000004,4.6000000000000005,6.3,30.0,32.6,88.0,90.1,11.0,8.7,1.0,1.2
2016,2611606,Recife,25.4,35.800000000000004,4.6000000000000005,6.3,30.0,32.6,88.0,90.1,11.0,8.7,1.0,1.2
2016,2611606,Recife,22.1,34.9,4.5,6.1000000000000005,20.9,26.5,91.7,91.3,7.6,7.6,0.7,1.1
2016,2611606,Recife,27.9,21.8,5.3,4.7,5.3,29.6,98.1,75.4,1.9,21.7,0.0,2.9
2016,2611606,Recife,21.5,,4.7,,27.9,,86.4,,12.4,,1.2,
2022,2611606,Recife,21.8,34.1,4.7,7.1,14.5,17.3,96.4,93.5,3.1,4.8,0.5,1.7
2022,2611606,Recife,21.8,34.1,4.7,7.1,14.5,17.3,96.4,93.5,3.1,4.8,0.5,1.7
2022,2611606,Recife,18.0,30.4,4.5,5.7,7.8,6.5,98.7,97.3,1.1,2.2,0.2,0.5
2022,2611606,Recife,25.5,35.4,4.8,7.6,19.0,20.6,94.9,92.4,4.5,5.6,0.6,2.0
2022,2611606,Recife,25.5,35.4,4.8,7.6,19.0,20.6,94.9,92.4,4.5,5.6,0.6,2.0
2022,2611606,Recife,35.0,36.5,4.8,7.7,24.4,20.2,95.3,94.2,3.9,4.0,0.8,1.8
2022,2611606,Recife,29.5,22.2,5.3,5.5,9.4,27.6,97.5,56.6,2.4,36.4,0.1,7.0
2022,2611606,Recife,29.5,22.2,5.3,5.5,9.4,27.6,97.5,56.6,2.4,36.4,0.1,7.0
2018,2611606,Recife,34.7,38.1,4.5,6.9,29.4,26.3,94.1,94.0,5.2,5.1,0.7,0.9
2018,2611606,Recife,21.8,33.5,4.5,6.5,19.3,22.2,94.4,93.3,5.1,5.7,0.5,1.0
2018,2611606,Recife,25.2,34.5,4.6,6.8,27.8,26.6,91.8,92.5,7.5,6.4,0.7,1.1
2018,2611606,Recife,29.0,11.9,5.3,4.9,9.0,33.6,97.9,64.1,2.1,29.6,0.0,6.3
