rodada,run_name,run_id,algorithm,modelo_sklearn,learning_rate,max_depth,max_iter,min_samples_leaf,l2_regularization,max_leaf_nodes,test_mae,test_rmse,test_r2,n_neighbors,weights
1,hgb_01_baseline,8f74fb214d64459b870a4aa200f91f1a,HistGradientBoosting,HistGradientBoostingRegressor,0.15,3.0,80.0,24.0,0.0,15.0,0.8547590508877245,1.3064941599589985,0.6872772093734798,,
2,hgb_02_mais_iter_l2,8161d1b40c6c42b7b0e74adba4ded5a8,HistGradientBoosting,HistGradientBoostingRegressor,0.1,4.0,180.0,16.0,0.1,31.0,0.7169823567695282,0.916856463553915,0.8459905785691282,,
3,hgb_03_arvore_rasa,d2202be3501e41da92e24d218b1b5f8e,HistGradientBoosting,HistGradientBoostingRegressor,0.1,2.0,220.0,20.0,0.05,7.0,0.5465076693859914,0.7134250803242523,0.9067516119587844,,
4,hgb_04_balanceado,b033ce1797944cd0ada64b7fc634c11f,HistGradientBoosting,HistGradientBoostingRegressor,0.1,4.0,220.0,12.0,0.3,15.0,0.7397001723757762,0.9891476352442707,0.8207468395584075,,
5,hgb_05_lr_alto_curto,62383f8795db4e5fa6d19b54eb64904f,HistGradientBoosting,HistGradientBoostingRegressor,0.2,3.0,60.0,30.0,0.0,15.0,4.9783333333333335,5.450376523911038,-4.442489477426582,,
6,hgb_06_lr_baixo_longo,8c2ea134f2c4461196d9ca861e9e2011,HistGradientBoosting,HistGradientBoostingRegressor,0.05,3.0,300.0,18.0,0.1,31.0,0.6260150531996986,0.7612091055343869,0.8938420467366592,,
7,hgb_07_profundo_moderado,c8d71058ed7e4a2a89926afbb9de9e16,HistGradientBoosting,HistGradientBoostingRegressor,0.08,5.0,200.0,14.0,0.15,31.0,0.632468917765121,0.8219091768822283,0.8762365958030289,,
8,hgb_08_folhas_pequenas,d9afd2b10ba74f989c35e7d79b638e02,HistGradientBoosting,HistGradientBoostingRegressor,0.12,3.0,150.0,8.0,0.2,63.0,0.658216333155728,0.9082979083534408,0.8488524139367775,,
9,hgb_09_l2_forte,fb830d6e12f445fd9f6b818763955f67,HistGradientBoosting,HistGradientBoostingRegressor,0.1,3.0,250.0,22.0,0.5,15.0,0.9068333502448308,1.3795285352023212,0.6513369188182232,,
10,hgb_10_muito_raso,449ba7bab42640d6b4718c6f09409ff6,HistGradientBoosting,HistGradientBoostingRegressor,0.08,2.0,280.0,28.0,0.1,5.0,4.9783333333333335,5.450376523911038,-4.442489477426582,,
11,tree_01_rasa,c9d7398d2ade4b118d4233015fe94287,DecisionTree,DecisionTreeRegressor,,3.0,,12.0,,,0.9775174825174826,1.570986616303221,0.5478426886509302,,
12,tree_02_media,7d1f2ea2ca3f4441bfc9314a324e3667,DecisionTree,DecisionTreeRegressor,,4.0,,8.0,,,1.3609090909090908,2.225345177051145,0.09272413774960142,,
