# RESUMO_GLOBAL — totais de células e ausentes por tabela
tabela,total_celulas,total_ausentes,pct_ausentes_global
socioeconomico_bruta,585,15,2.5641
educacional_bruta,3705,605,16.3293
fato_integrado_processada,2548,175,6.8681

# RESUMO_FORMAS — linhas × colunas (bruto vs processado)
fonte,etapa,n_linhas,n_colunas
socioeconomica,bruta,65,9
educacional,bruta,247,15
socioeconomica,processada (fato_socioeconomico),51,10
educacional,processada (fato_educacional),127,19
integracao_escola_ano,processada (fato_integrado),98,26

# DETALHE_POR_COLUNA
tabela,n_linhas_referencia,n_colunas_referencia,coluna,valores_ausentes,pct_ausentes,rank_no_dataset
socioeconomico_bruta,65,9,taxa_evasao_em,5,7.69,1
socioeconomico_bruta,65,9,taxa_promocao_em,5,7.69,1
socioeconomico_bruta,65,9,taxa_repetencia_em,5,7.69,1
socioeconomico_bruta,65,9,ano,0,0.0,4
socioeconomico_bruta,65,9,id_municipio,0,0.0,4
socioeconomico_bruta,65,9,id_municipio_nome,0,0.0,4
socioeconomico_bruta,65,9,taxa_evasao_ef,0,0.0,4
socioeconomico_bruta,65,9,taxa_promocao_ef,0,0.0,4
socioeconomico_bruta,65,9,taxa_repetencia_ef,0,0.0,4
educacional_bruta,247,15,had_em,97,39.27,1
educacional_bruta,247,15,taxa_abandono_em,71,28.74,2
educacional_bruta,247,15,taxa_aprovacao_em,71,28.74,2
educacional_bruta,247,15,taxa_reprovacao_em,71,28.74,2
educacional_bruta,247,15,had_ef,65,26.32,5
educacional_bruta,247,15,atu_em,61,24.7,6
educacional_bruta,247,15,tdi_em,61,24.7,6
educacional_bruta,247,15,taxa_abandono_ef,28,11.34,8
educacional_bruta,247,15,taxa_aprovacao_ef,28,11.34,8
educacional_bruta,247,15,taxa_reprovacao_ef,28,11.34,8
educacional_bruta,247,15,atu_ef,20,8.1,11
educacional_bruta,247,15,tdi_ef,4,1.62,12
educacional_bruta,247,15,ano,0,0.0,13
educacional_bruta,247,15,id_municipio,0,0.0,13
educacional_bruta,247,15,id_municipio_nome,0,0.0,13
fato_socioeconomico_processada,51,10,taxa_evasao_em,5,9.8,1
fato_socioeconomico_processada,51,10,taxa_promocao_em,5,9.8,1
fato_socioeconomico_processada,51,10,taxa_repetencia_em,5,9.8,1
fato_socioeconomico_processada,51,10,ano,0,0.0,4
fato_socioeconomico_processada,51,10,id_municipio,0,0.0,4
fato_socioeconomico_processada,51,10,id_municipio_nome,0,0.0,4
fato_socioeconomico_processada,51,10,periodo,0,0.0,4
fato_socioeconomico_processada,51,10,taxa_evasao_ef,0,0.0,4
fato_socioeconomico_processada,51,10,taxa_promocao_ef,0,0.0,4
fato_socioeconomico_processada,51,10,taxa_repetencia_ef,0,0.0,4
fato_educacional_processada,127,19,had_em,50,39.37,1
fato_educacional_processada,127,19,had_ef,35,27.56,2
fato_educacional_processada,127,19,taxa_abandono_em,34,26.77,3
fato_educacional_processada,127,19,taxa_aprovacao_em,34,26.77,3
fato_educacional_processada,127,19,taxa_reprovacao_em,34,26.77,3
fato_educacional_processada,127,19,atu_em,29,22.83,6
fato_educacional_processada,127,19,tdi_em,29,22.83,6
fato_educacional_processada,127,19,taxa_abandono_ef,15,11.81,8
fato_educacional_processada,127,19,taxa_aprovacao_ef,15,11.81,8
fato_educacional_processada,127,19,taxa_reprovacao_ef,15,11.81,8
fato_educacional_processada,127,19,atu_ef,11,8.66,11
fato_educacional_processada,127,19,tdi_ef,2,1.57,12
fato_educacional_processada,127,19,ano,0,0.0,13
fato_educacional_processada,127,19,id_linha_educacional,0,0.0,13
fato_educacional_processada,127,19,id_municipio,0,0.0,13
fato_educacional_processada,127,19,id_municipio_nome,0,0.0,13
fato_educacional_processada,127,19,periodo,0,0.0,13
fato_educacional_processada,127,19,risco_ef,0,0.0,13
fato_educacional_processada,127,19,risco_em,0,0.0,13
fato_integrado_processada,98,26,had_em,31,31.63,1
fato_integrado_processada,98,26,taxa_abandono_em,24,24.49,2
fato_integrado_processada,98,26,taxa_aprovacao_em,24,24.49,2
fato_integrado_processada,98,26,taxa_reprovacao_em,24,24.49,2
fato_integrado_processada,98,26,atu_em,19,19.39,5
fato_integrado_processada,98,26,tdi_em,19,19.39,5
fato_integrado_processada,98,26,had_ef,16,16.33,7
fato_integrado_processada,98,26,taxa_abandono_ef,6,6.12,8
fato_integrado_processada,98,26,taxa_aprovacao_ef,6,6.12,8
fato_integrado_processada,98,26,taxa_reprovacao_ef,6,6.12,8
fato_integrado_processada,98,26,ano,0,0.0,11
fato_integrado_processada,98,26,atu_ef,0,0.0,11
fato_integrado_processada,98,26,id_linha_educacional,0,0.0,11
fato_integrado_processada,98,26,id_municipio,0,0.0,11
fato_integrado_processada,98,26,id_municipio_nome,0,0.0,11
fato_integrado_processada,98,26,indice_risco_evasao,0,0.0,11
fato_integrado_processada,98,26,periodo,0,0.0,11
fato_integrado_processada,98,26,risco_ef,0,0.0,11
fato_integrado_processada,98,26,risco_em,0,0.0,11
fato_integrado_processada,98,26,taxa_evasao_ef,0,0.0,11
fato_integrado_processada,98,26,taxa_evasao_em,0,0.0,11
fato_integrado_processada,98,26,taxa_promocao_ef,0,0.0,11
fato_integrado_processada,98,26,taxa_promocao_em,0,0.0,11
fato_integrado_processada,98,26,taxa_repetencia_ef,0,0.0,11
fato_integrado_processada,98,26,taxa_repetencia_em,0,0.0,11
fato_integrado_processada,98,26,tdi_ef,0,0.0,11
